HomeTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HY,AY,HR,AR
Darmstadt,0,2,A,0,1,A,0,1,0,0
Hoffenheim,2,1,H,1,1,D,2,4,0,0
Leverkusen,1,4,A,0,1,A,1,1,0,0
M'gladbach,4,0,H,1,0,H,1,2,0,0
Schalke 04,3,2,H,1,1,D,2,0,0,1
Augsburg,3,3,D,2,0,H,2,1,1,0
Dortmund,0,0,D,0,0,D,1,1,0,0
Stuttgart,5,1,H,2,0,H,1,2,0,0
Wolfsburg,2,1,H,2,1,H,2,3,0,0
Bayern Munich,5,0,H,2,0,H,1,3,0,0
Darmstadt,2,2,D,2,0,H,2,1,0,0
Hoffenheim,1,0,H,1,0,H,1,1,0,0
M'gladbach,3,0,H,1,0,H,1,3,0,0
Dortmund,2,0,H,1,0,H,0,0,0,0
Leverkusen,1,0,H,1,0,H,4,2,1,0
Schalke 04,2,1,H,0,0,D,1,0,0,0
Wolfsburg,1,1,D,0,0,D,1,1,0,0
Augsburg,1,3,A,1,1,D,4,1,0,0
Stuttgart,0,2,A,0,1,A,3,3,0,0
Leverkusen,3,0,H,1,0,H,0,4,0,0
Bayern Munich,1,0,H,1,0,H,2,5,0,0
Darmstadt,2,2,D,1,2,A,4,1,0,0
Dortmund,3,2,H,0,0,D,1,3,0,0
Hoffenheim,1,1,D,0,0,D,2,1,0,0
M'gladbach,5,0,H,1,0,H,1,2,0,0
Stuttgart,1,3,A,0,1,A,1,3,0,0
Wolfsburg,1,1,D,0,0,D,2,2,1,0
Schalke 04,2,2,D,0,0,D,5,3,0,0
Augsburg,1,0,H,1,0,H,2,0,0,0
Bayern Munich,3,0,H,0,0,D,0,0,0,0
Darmstadt,2,0,H,0,0,D,2,3,0,0
Hoffenheim,2,1,H,1,1,D,2,0,0,0
Leverkusen,3,0,H,0,0,D,4,3,0,0
Dortmund,3,0,H,2,0,H,0,0,0,1
Schalke 04,2,3,A,2,0,H,3,3,0,0
Stuttgart,0,3,A,0,2,A,0,1,0,0
Wolfsburg,0,2,A,0,1,A,0,2,0,0
M'gladbach,3,1,H,2,0,H,1,2,0,0
