HomeTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HY,AY,HR,AR
Liverpool,3,3,D,2,2,D,M Jones,2,0,0,0
Man City,0,0,D,0,0,D,R East,0,1,0,0
Southampton,2,0,H,1,0,H,C Pawson,1,2,0,0
Tottenham,0,1,A,0,0,D,L Mason,1,0,0,0
Aston Villa,1,1,D,0,1,A,R East,3,2,0,0
Chelsea,3,3,D,0,0,D,M Jones,1,1,0,0
Man City,4,0,H,2,0,H,J Moss,0,2,0,0
Newcastle,2,1,H,2,0,H,N Swarbrick,1,0,0,0
Southampton,3,0,H,2,0,H,M Atkinson,0,0,0,0
Tottenham,4,1,H,1,1,D,M Dean,0,2,0,0
Liverpool,0,1,A,0,0,D,M Clattenburg,0,2,0,0
Leicester,3,0,H,1,0,H,M Dean,0,1,0,0
Man United,0,1,A,0,0,D,M Jones,0,0,0,0
Arsenal,0,1,A,0,1,A,M Clattenburg,1,3,1,0
Arsenal,0,0,D,0,0,D,L Mason,2,1,0,0
Leicester,2,0,H,0,0,D,A Marriner,0,1,0,0
Man United,3,0,H,2,0,H,R East,2,1,0,0
Aston Villa,2,0,H,1,0,H,M Atkinson,0,2,0,0
Liverpool,2,2,D,0,0,D,R Madley,1,1,0,0
Man City,1,3,A,0,1,A,A Taylor,2,2,0,0
Newcastle,1,0,H,1,0,H,L Mason,0,3,0,0
Southampton,1,0,H,1,0,H,M Clattenburg,1,2,1,0
Tottenham,1,0,H,0,0,D,R East,0,1,0,0
Chelsea,1,1,D,0,0,D,M Oliver,0,3,0,0
Chelsea,5,1,H,3,0,H,R Madley,0,1,1,0
Arsenal,2,1,H,0,1,A,M Atkinson,4,3,0,1
Aston Villa,0,6,A,0,2,A,N Swarbrick,3,1,0,0
Man City,1,2,A,0,0,D,M Clattenburg,1,3,0,0
Leicester,1,0,H,0,0,D,N Swarbrick,0,2,0,0
Southampton,1,2,A,1,0,H,M Atkinson,3,1,0,0
Tottenham,2,1,H,0,1,A,M Jones,2,3,0,0
Man United,3,2,H,2,1,H,C Pawson,4,3,0,0
Aston Villa,1,3,A,0,2,A,R East,3,1,0,0
Leicester,2,2,D,2,1,H,M Clattenburg,0,2,0,0
Arsenal,1,2,A,1,1,D,R Madley,0,2,0,0
Liverpool,3,0,H,2,0,H,M Atkinson,0,1,0,0
Man United,1,0,H,0,0,D,M Jones,1,2,0,0
Chelsea,1,1,D,1,0,H,M Clattenburg,1,2,0,0
Man City,4,0,H,0,0,D,L Mason,0,1,0,0
Newcastle,1,3,A,0,1,A,P Tierney,1,3,0,0
Southampton,1,1,D,0,0,D,N Swarbrick,2,1,1,0
Tottenham,2,2,D,0,1,A,M Oliver,2,2,0,1
Aston Villa,0,2,A,0,1,A,A Taylor,0,0,0,0
Leicester,1,0,H,1,0,H,C Pawson,0,0,0,0
Chelsea,2,2,D,1,1,D,R Madley,3,5,0,0
Man City,0,1,A,0,1,A,M Oliver,1,1,0,0
Newcastle,1,1,D,0,1,A,M Atkinson,4,1,0,0
Southampton,3,2,H,0,2,A,R East,1,3,0,0
Tottenham,3,0,H,2,0,H,N Swarbrick,0,1,0,0
Arsenal,4,0,H,2,0,H,A Taylor,1,1,0,0
Aston Villa,0,4,A,0,2,A,N Swarbrick,4,1,1,0
Liverpool,1,1,D,0,0,D,J Moss,2,0,0,0
Leicester,1,0,H,1,0,H,M Oliver,2,2,0,0
Man United,1,0,H,0,0,D,A Marriner,2,0,0,0
Aston Villa,1,2,A,0,1,A,M Atkinson,2,2,0,0
Man City,2,1,H,1,1,D,M Jones,0,1,0,0
Southampton,3,1,H,2,0,H,R Madley,0,0,0,0
Liverpool,4,1,H,2,1,H,M Clattenburg,0,2,0,0
Tottenham,3,0,H,0,0,D,M Dean,3,3,0,0
Chelsea,0,3,A,0,1,A,M Dean,2,3,1,0
Man United,1,0,H,1,0,H,K Friend,0,1,0,0
Newcastle,3,0,H,1,0,H,L Mason,2,1,0,0
Arsenal,1,1,D,1,0,H,R East,0,2,0,0
Leicester,2,2,D,1,0,H,J Moss,1,3,1,0
Newcastle,1,1,D,1,1,D,K Friend,3,2,0,0
Liverpool,4,0,H,2,0,H,R Madley,1,1,0,1
Man United,2,0,H,1,0,H,L Mason,1,2,0,0
Arsenal,2,0,H,2,0,H,J Moss,0,1,0,0
Aston Villa,2,4,A,1,2,A,N Swarbrick,2,0,0,0
Liverpool,2,2,D,2,0,H,A Marriner,1,1,0,0
Man City,4,0,H,2,0,H,R Madley,0,0,0,0
Leicester,4,0,H,2,0,H,M Clattenburg,1,2,0,0
Tottenham,1,1,D,1,0,H,M Jones,0,1,0,0
Arsenal,1,0,H,0,0,D,M Jones,1,0,0,0
Newcastle,1,0,H,0,0,D,M Dean,2,0,0,0
Man United,1,1,D,1,1,D,M Oliver,3,0,0,1
Southampton,4,2,H,2,1,H,A Marriner,2,1,0,0
Chelsea,2,2,D,0,2,A,M Clattenburg,3,9,0,0
Aston Villa,0,0,D,0,0,D,R Madley,1,1,0,0
Leicester,3,1,H,2,0,H,A Marriner,0,3,0,0
Liverpool,2,0,H,1,0,H,L Mason,1,2,0,0
Man City,2,2,D,1,1,D,A Taylor,2,1,0,0
Tottenham,1,2,A,1,1,D,J Moss,0,3,0,0
Liverpool,1,1,D,0,1,A,M Oliver,3,1,0,0
Arsenal,4,0,H,1,0,H,M Clattenburg,0,1,0,0
Chelsea,1,1,D,0,0,D,C Pawson,0,0,0,0
Newcastle,5,1,H,2,0,H,A Taylor,1,2,1,0
Southampton,4,1,H,1,0,H,M Oliver,1,2,0,0
Man United,3,1,H,1,0,H,J Moss,1,0,0,0
