HomeTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HY,AY,HR,AR
Betis,1,1,D,0,0,D,2,3,0,0
Espanol,1,0,H,0,0,D,3,1,0,0
Ath Madrid,0,0,D,0,0,D,2,2,0,0
Betis,2,2,D,2,0,H,2,3,0,0
Real Madrid,0,1,A,0,0,D,3,4,0,0
Sociedad,1,1,D,0,0,D,4,5,0,0
Barcelona,2,1,H,1,1,D,3,2,0,0
Valencia,0,3,A,0,0,D,2,0,0,0
Villarreal,3,0,H,2,0,H,0,2,0,1
Ath Madrid,3,0,H,1,0,H,1,2,0,0
Levante,1,3,A,1,2,A,2,1,0,0
Sevilla,1,0,H,1,0,H,1,2,0,1
Espanol,0,3,A,0,2,A,4,2,0,0
Real Madrid,7,1,H,1,0,H,2,3,0,0
Villarreal,0,1,A,0,1,A,1,2,0,0
Betis,2,0,H,0,0,D,3,7,1,1
Sociedad,1,1,D,1,1,D,3,3,0,0
Valencia,1,3,A,1,1,D,1,1,1,0
Espanol,2,1,H,1,0,H,3,4,1,0
Ath Madrid,3,0,H,1,0,H,1,1,0,0
Barcelona,6,0,H,4,0,H,0,3,0,0
Levante,1,0,H,0,0,D,2,4,0,0
Sevilla,4,2,H,1,2,A,1,1,1,0
Betis,0,1,A,0,0,D,3,2,0,0
Sociedad,0,1,A,0,1,A,4,5,0,0
Espanol,2,1,H,0,1,A,3,3,0,0
Real Madrid,4,0,H,1,0,H,2,2,0,0
Valencia,0,2,A,0,0,D,1,0,0,0
Villarreal,2,2,D,0,2,A,8,4,0,0
Ath Madrid,5,1,H,2,0,H,1,3,0,0
Barcelona,1,2,A,0,0,D,3,2,0,1
Sevilla,1,2,A,0,2,A,4,3,0,1
Levante,0,0,D,0,0,D,4,4,1,0
Betis,1,0,H,0,0,D,4,3,0,0
Espanol,1,3,A,1,1,D,2,2,0,0
Real Madrid,4,0,H,4,0,H,1,3,0,0
Sociedad,1,0,H,1,0,H,1,3,0,0
Valencia,2,1,H,1,0,H,2,2,0,0
Villarreal,2,0,H,1,0,H,2,2,0,0
Levante,2,1,H,1,1,D,5,0,0,0
Ath Madrid,3,0,H,1,0,H,3,5,0,0
Barcelona,1,2,A,0,2,A,3,3,0,0
Sevilla,1,1,D,1,0,H,2,2,0,0
Betis,1,0,H,0,0,D,2,1,0,1
Espanol,1,1,D,1,1,D,1,1,0,0
Real Madrid,3,0,H,1,0,H,2,1,0,0
Valencia,4,0,H,3,0,H,1,2,0,0
Sociedad,1,2,A,1,1,D,2,4,0,0
Ath Madrid,1,0,H,0,0,D,3,3,0,0
Barcelona,6,0,H,1,0,H,0,2,0,1
Levante,2,2,D,1,0,H,2,1,0,0
Sevilla,2,0,H,0,0,D,5,4,0,0
Villarreal,0,0,D,0,0,D,4,1,0,0
Ath Madrid,1,0,H,0,0,D,1,1,0,0
Betis,0,2,A,0,0,D,3,3,1,0
Sociedad,0,1,A,0,0,D,4,4,0,0
Espanol,1,0,H,0,0,D,3,3,0,0
Valencia,0,2,A,0,2,A,0,2,0,0
Barcelona,5,0,H,1,0,H,2,7,0,0
Levante,2,1,H,1,1,D,1,1,0,0
Real Madrid,3,2,H,2,0,H,1,4,0,1
Sevilla,1,4,A,0,1,A,4,1,0,0
Sociedad,2,1,H,1,0,H,2,1,1,0
Villarreal,0,2,A,0,1,A,3,1,0,0
Valencia,0,1,A,0,0,D,2,2,0,0
Ath Madrid,2,0,H,0,0,D,4,5,0,0
Betis,2,1,H,0,0,D,1,8,0,1
Espanol,4,2,H,2,0,H,4,3,0,0
