HomeTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HY,AY,HR,AR
Verona,3,1,H,1,0,H,1,3,1,1
Frosinone,0,0,D,0,0,D,2,0,0,0
Genoa,2,1,H,0,1,A,3,3,0,0
Roma,5,0,H,1,0,H,0,1,0,0
Sassuolo,3,2,H,1,1,D,1,1,1,1
Napoli,1,1,D,1,1,D,0,2,0,0
Milan,1,0,H,1,0,H,2,1,0,0
Juventus,2,0,H,0,0,D,3,1,0,0
Fiorentina,1,1,D,1,1,D,0,1,0,0
Roma,4,1,H,3,1,H,3,3,0,0
Napoli,3,1,H,2,1,H,0,3,0,0
Verona,0,3,A,0,3,A,2,3,0,0
Frosinone,2,0,H,1,0,H,2,3,0,0
Genoa,1,0,H,0,0,D,1,4,0,0
Inter,3,1,H,2,1,H,1,1,0,0
Sassuolo,2,0,H,1,0,H,1,2,1,0
Juventus,1,0,H,1,0,H,0,3,0,0
Inter,2,1,H,0,0,D,2,0,0,0
Fiorentina,1,1,D,1,0,H,2,1,0,0
Genoa,3,2,H,2,2,D,1,5,0,0
Roma,1,1,D,0,0,D,2,2,0,0
Frosinone,0,0,D,0,0,D,3,4,0,0
Milan,1,1,D,1,1,D,1,1,0,1
Napoli,3,1,H,0,1,A,3,2,0,0
Sassuolo,1,1,D,0,1,A,2,4,0,0
Verona,1,2,A,0,1,A,1,3,1,0
Juventus,1,0,H,1,0,H,2,2,0,0
Fiorentina,1,1,D,1,1,D,1,2,0,1
Genoa,4,0,H,1,0,H,1,4,0,0
Inter,1,2,A,1,0,H,1,5,2,0
Frosinone,0,1,A,0,0,D,5,2,1,0
Milan,1,2,A,1,1,D,4,3,0,0
Sassuolo,0,1,A,0,1,A,2,1,0,0
Napoli,3,0,H,2,0,H,2,2,0,1
Roma,1,1,D,0,1,A,1,2,0,0
Inter,2,0,H,2,0,H,4,3,0,0
Fiorentina,3,1,H,1,0,H,1,3,0,0
Juventus,4,0,H,1,0,H,2,3,0,0
Verona,1,2,A,0,1,A,3,3,0,0
Napoli,6,0,H,2,0,H,1,2,0,0
Genoa,1,0,H,0,0,D,2,2,0,0
Juventus,3,0,H,1,0,H,1,1,0,1
Roma,3,2,H,0,1,A,1,3,0,0
Sassuolo,0,0,D,0,0,D,4,3,0,1
Milan,0,0,D,0,0,D,2,3,0,0
Inter,3,1,H,1,1,D,3,2,0,0
Fiorentina,1,2,A,0,1,A,1,3,0,0
Frosinone,0,2,A,0,0,D,3,3,0,0
Roma,1,0,H,0,0,D,2,4,0,0
